Grupo Etareo;Anio;Variable;Departamento;Number of Records;Total
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;ALTA VERAPAZ;1;14985
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;BAJA VERAPAZ;1;704
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;CHIMALTENANGO;1;6713
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;EL PETEN;1;5374
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;EL PROGRESO;1;583
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;ESCUINTLA;1;2079
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;GUATEMALA;1;5530
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;HUEHUETENANGO;1;18601
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;IZABAL;1;1870
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;JALAPA;1;693
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;JUTIAPA;1;2023
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;QUETZALTENANGO;1;8146
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;QUICHE;1;26203
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;RETALHULEU;1;1284
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SACATEPEQUEZ;1;1238
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SAN MARCOS;1;4670
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SANTA ROSA;1;1805
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SOLOLA;1;1921
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SUCHITEPEQUEZ;1;723
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;TOTONICAPAN;1;3537
1a a 4 años;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;ZACAPA;1;931
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;ALTA VERAPAZ;1;67
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;BAJA VERAPAZ;1;4
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;CHIMALTENANGO;1;56
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;EL PETEN;1;16
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;EL PROGRESO;1;6
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;ESCUINTLA;1;16
