txt;Anio;Departamento;Municipio;Tipo Consulta;Número de registros;Total
 ;2012;GUATEMALA;GUATEMALA;Emergencia;1;238525
 ;2012;GUATEMALA;GUATEMALA;Ínter consulta;1;1
 ;2012;GUATEMALA;GUATEMALA;Paciente Nuevo;1;744473
 ;2012;GUATEMALA;GUATEMALA;Primera;1;1039076
 ;2012;GUATEMALA;GUATEMALA;Reconsulta;1;398259
 ;2012;GUATEMALA;SANTA CATARINA PINULA;Emergencia;1;411
 ;2012;GUATEMALA;SANTA CATARINA PINULA;Paciente Nuevo;1;19782
 ;2012;GUATEMALA;SANTA CATARINA PINULA;Primera;1;32102
 ;2012;GUATEMALA;SANTA CATARINA PINULA;Reconsulta;1;6933
 ;2012;GUATEMALA;SAN JOSÉ PINULA;Emergencia;1;1296
 ;2012;GUATEMALA;SAN JOSÉ PINULA;Ínter consulta;1;15
 ;2012;GUATEMALA;SAN JOSÉ PINULA;Paciente Nuevo;1;26877
 ;2012;GUATEMALA;SAN JOSÉ PINULA;Primera;1;31423
 ;2012;GUATEMALA;SAN JOSÉ PINULA;Reconsulta;1;15155
 ;2012;GUATEMALA;SAN JOSÉ DEL GOLFO;Emergencia;1;1033
 ;2012;GUATEMALA;SAN JOSÉ DEL GOLFO;Paciente Nuevo;1;21008
 ;2012;GUATEMALA;SAN JOSÉ DEL GOLFO;Primera;1;49870
 ;2012;GUATEMALA;SAN JOSÉ DEL GOLFO;Reconsulta;1;11432
 ;2012;GUATEMALA;PALENCIA;Emergencia;1;4318
 ;2012;GUATEMALA;PALENCIA;Paciente Nuevo;1;43913
 ;2012;GUATEMALA;PALENCIA;Primera;1;56673
 ;2012;GUATEMALA;PALENCIA;Reconsulta;1;12279
 ;2012;GUATEMALA;CHINAUTLA;Emergencia;1;1943
 ;2012;GUATEMALA;CHINAUTLA;Paciente Nuevo;1;78825
 ;2012;GUATEMALA;CHINAUTLA;Primera;1;98095
 ;2012;GUATEMALA;CHINAUTLA;Reconsulta;1;38816
 ;2012;GUATEMALA;SAN PEDRO AYAMPUC;Emergencia;1;262
 ;2012;GUATEMALA;SAN PEDRO AYAMPUC;Paciente Nuevo;1;25859
 ;2012;GUATEMALA;SAN PEDRO AYAMPUC;Primera;1;46385
 ;2012;GUATEMALA;SAN PEDRO AYAMPUC;Reconsulta;1;11217
 ;2012;GUATEMALA;MIXCO;Emergencia;1;81339
 ;2012;GUATEMALA;MIXCO;Paciente Nuevo;1;156884
 ;2012;GUATEMALA;MIXCO;Primera;1;126028
 ;2012;GUATEMALA;MIXCO;Reconsulta;1;38787
 ;2012;GUATEMALA;SAN PEDRO SACATEPÉQUEZ;Emergencia;1;505
 ;2012;GUATEMALA;SAN PEDRO SACATEPÉQUEZ;Paciente Nuevo;1;26732
 ;2012;GUATEMALA;SAN PEDRO SACATEPÉQUEZ;Primera;1;40378
 ;2012;GUATEMALA;SAN PEDRO SACATEPÉQUEZ;Reconsulta;1;2034
 ;2012;GUATEMALA;SAN JUAN SACATEPÉQUEZ;Emergencia;1;602
 ;2012;GUATEMALA;SAN JUAN SACATEPÉQUEZ;Paciente Nuevo;1;69009
 ;2012;GUATEMALA;SAN JUAN SACATEPÉQUEZ;Primera;1;105545
 ;2012;GUATEMALA;SAN JUAN SACATEPÉQUEZ;Reconsulta;1;1874
 ;2012;GUATEMALA;SAN RAYMUNDO;Emergencia;1;113
 ;2012;GUATEMALA;SAN RAYMUNDO;Paciente Nuevo;1;14693
 ;2012;GUATEMALA;SAN RAYMUNDO;Primera;1;24908
 ;2012;GUATEMALA;SAN RAYMUNDO;Reconsulta;1;4594
 ;2012;GUATEMALA;CHUARRANCHO;Emergencia;1;59
 ;2012;GUATEMALA;CHUARRANCHO;Paciente Nuevo;1;6517
 ;2012;GUATEMALA;CHUARRANCHO;Primera;1;14813
 ;2012;GUATEMALA;CHUARRANCHO;Reconsulta;1;1776
 ;2012;GUATEMALA;FRAIJANES;Emergencia;1;563
 ;2012;GUATEMALA;FRAIJANES;Ínter consulta;1;11
 ;2012;GUATEMALA;FRAIJANES;Paciente Nuevo;1;27911
 ;2012;GUATEMALA;FRAIJANES;Primera;1;35020
 ;2012;GUATEMALA;FRAIJANES;Reconsulta;1;8144
 ;2012;GUATEMALA;AMATITLÁN;Emergencia;1;5067
 ;2012;GUATEMALA;AMATITLÁN;Paciente Nuevo;1;23646
 ;2012;GUATEMALA;AMATITLÁN;Primera;1;27886
 ;2012;GUATEMALA;AMATITLÁN;Reconsulta;1;4691
 ;2012;GUATEMALA;VILLA NUEVA;Emergencia;1;3696
 ;2012;GUATEMALA;VILLA NUEVA;Paciente Nuevo;1;73435
 ;2012;GUATEMALA;VILLA NUEVA;Primera;1;104533
 ;2012;GUATEMALA;VILLA NUEVA;Reconsulta;1;23000
 ;2012;GUATEMALA;VILLA CANALES;Emergencia;1;677
 ;2012;GUATEMALA;VILLA CANALES;Paciente Nuevo;1;46362
 ;2012;GUATEMALA;VILLA CANALES;Primera;1;85818
 ;2012;GUATEMALA;VILLA CANALES;Reconsulta;1;18254
 ;2012;GUATEMALA;SAN MIGUEL PETAPA;Emergencia;1;524
 ;2012;GUATEMALA;SAN MIGUEL PETAPA;Paciente Nuevo;1;14110
 ;2012;GUATEMALA;SAN MIGUEL PETAPA;Primera;1;26719
 ;2012;GUATEMALA;SAN MIGUEL PETAPA;Reconsulta;1;3667
 ;2012;EL PROGRESO;GUASTATOYA;Emergencia;1;3716
 ;2012;EL PROGRESO;GUASTATOYA;Ínter consulta;1;2
 ;2012;EL PROGRESO;GUASTATOYA;Paciente Nuevo;1;22975
 ;2012;EL PROGRESO;GUASTATOYA;Primera;1;29566
 ;2012;EL PROGRESO;GUASTATOYA;Reconsulta;1;5039
 ;2012;EL PROGRESO;MORAZÁN;Emergencia;1;54
 ;2012;EL PROGRESO;MORAZÁN;Paciente Nuevo;1;8315
 ;2012;EL PROGRESO;MORAZÁN;Primera;1;19884
 ;2012;EL PROGRESO;MORAZÁN;Reconsulta;1;3268
 ;2012;EL PROGRESO;SAN AGUSTÍN ACASAGUASTLÁN;Emergencia;1;487
